id;access;bicycle;crossing;foot;footway;highway;horse;junction;lanes;lit;maxspeed;name;oneway;service;surface
81;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
82;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
83;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
84;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;-
85;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;-
86;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;-
87;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;-
88;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;-
89;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;-
90;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;-
91;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;-
92;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
93;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
94;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
95;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
96;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
97;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
98;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
99;-;-;-;-;-;secondary;-;-;-;-;-;Avenida Pau Brasil;yes;-;-
100;-;-;-;-;-;secondary;-;-;-;-;-;Avenida Pau Brasil;yes;-;-
101;-;-;-;-;-;secondary;-;-;-;-;-;Avenida Pau Brasil;yes;-;-
102;-;-;-;-;-;secondary;-;-;-;-;-;Avenida Pau Brasil;yes;-;-
103;-;-;-;-;-;secondary;-;-;-;-;-;Avenida Pau Brasil;yes;-;-
104;-;-;-;-;-;secondary;-;-;-;-;-;Avenida Pau Brasil;yes;-;-
105;-;-;-;-;-;secondary;-;-;-;-;-;Avenida Pau Brasil;yes;-;-
106;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Aroeira;yes;-;-
107;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
108;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
109;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
110;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
111;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
112;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
113;-;-;zebra;-;crossing;footway;-;-;-;-;-;-;-;-;-
114;-;-;zebra;-;crossing;footway;-;-;-;-;-;-;-;-;-
115;-;-;zebra;-;crossing;footway;-;-;-;-;-;-;-;-;-
116;-;-;-;-;-;footway;-;-;-;-;-;-;-;-;-
117;-;-;-;-;-;footway;-;-;-;-;-;-;-;-;-
118;-;-;-;-;-;footway;-;-;-;-;-;-;-;-;-
119;-;-;-;-;-;tertiary;-;-;-;-;-;Alameda Flamboyant;-;-;-
120;-;-;-;-;-;secondary;-;-;-;-;-;-;yes;-;-
121;-;-;-;-;-;tertiary_link;-;-;-;-;-;-;yes;-;-
122;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
123;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
124;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
125;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
126;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
127;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
128;-;-;-;-;-;tertiary_link;-;-;-;-;-;-;yes;-;-
129;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
130;-;-;-;-;-;secondary;-;-;-;-;-;Avenida Pau Brasil;yes;-;-
131;-;-;-;-;-;secondary;-;-;-;-;-;Avenida Pau Brasil;yes;-;-
132;-;-;-;-;-;secondary;-;-;-;-;-;Avenida Pau Brasil;yes;-;-
133;-;-;-;-;-;secondary;-;-;-;-;-;Avenida Pau Brasil;yes;-;-
134;-;-;-;-;-;tertiary;-;-;-;-;-;Rua do Bosque;yes;-;-
135;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
136;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
137;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
138;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
139;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
140;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
141;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
142;-;-;-;-;-;tertiary;-;-;-;-;-;Rua R-2;yes;-;-
143;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
144;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Samambaia;yes;-;-
145;-;-;-;-;-;tertiary;-;roundabout;-;-;-;-;-;-;-
146;-;-;-;-;-;tertiary;-;roundabout;-;-;-;-;-;-;-
147;-;-;-;-;-;tertiary;-;roundabout;-;-;-;-;-;-;-
148;-;-;-;-;-;tertiary;-;roundabout;-;-;-;-;-;-;-
149;-;-;-;-;-;tertiary;-;roundabout;-;-;-;-;-;-;-
150;-;-;-;-;-;tertiary;-;roundabout;-;-;-;-;-;-;-
151;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
152;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
153;-;-;-;-;-;residential;-;-;-;-;-;Rua r-015;no;-;asphalt
154;-;-;-;-;-;residential;-;-;-;-;-;Rua r-016;no;-;asphalt
155;-;-;-;-;-;residential;-;-;-;-;-;Rua r-017;no;-;paved
156;-;-;-;-;-;residential;-;-;-;-;-;Rua r-018;no;-;-
157;-;-;-;-;-;residential;-;-;-;-;-;Rua r-019;no;-;-
158;-;-;-;-;-;residential;-;-;-;-;-;Rua r-020;no;-;-
159;-;-;-;-;-;residential;-;-;-;-;-;Rua r-020;no;-;-
160;-;-;-;-;-;residential;-;-;-;-;-;-;no;-;-
161;-;-;-;-;-;residential;-;-;-;-;-;Rua r-021;no;-;-
162;-;-;-;-;-;residential;-;-;-;-;-;Rua r-022;no;-;-
163;-;-;-;-;-;residential;-;-;-;-;-;-;no;-;-
164;-;-;-;-;-;residential;-;-;-;-;-;Rua r-023;no;-;-
165;-;yes;-;permissive;-;residential;no;-;2;-;50;Rua r-024;no;-;asphalt
166;-;yes;-;permissive;-;residential;no;-;2;-;50;Rua r-024;no;-;asphalt
167;-;-;-;-;-;tertiary;-;-;-;-;-;Alameda Flamboyant;-;-;-
168;-;-;-;-;-;secondary;-;roundabout;-;-;-;Alameda Flamboyant;-;-;-
169;-;-;-;-;-;secondary;-;roundabout;-;-;-;Alameda Flamboyant;-;-;-
170;-;-;-;-;-;secondary;-;roundabout;-;-;-;Alameda Flamboyant;-;-;-
171;-;-;-;-;-;secondary;-;roundabout;-;-;-;Alameda Flamboyant;-;-;-
172;-;-;-;-;-;secondary;-;roundabout;-;-;-;Alameda Flamboyant;-;-;-
173;-;-;-;-;-;secondary;-;roundabout;-;-;-;Alameda Flamboyant;-;-;-
174;-;-;-;-;-;tertiary_link;-;-;-;-;-;Alameda Flamboyant;yes;-;-
175;-;-;-;-;-;tertiary_link;-;-;-;-;-;Alameda Flamboyant;yes;-;-
