id;access;bicycle;crossing;foot;footway;highway;horse;junction;lanes;lit;maxspeed;name;oneway;service;surface
82;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;asphalt
83;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;asphalt
84;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;asphalt
85;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;asphalt
86;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;asphalt
87;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;asphalt
88;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;asphalt
89;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;asphalt
90;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;asphalt
91;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;asphalt
92;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
93;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
94;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
95;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
96;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
97;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
98;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
99;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
100;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
101;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
102;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
103;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
104;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
105;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
106;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;-
107;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;-
108;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;-
109;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;-
110;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;-
111;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;-
112;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;-
113;-;-;-;-;-;secondary;-;-;-;-;-;Alameda Palmeiras;yes;-;-
114;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
115;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
116;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
117;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
118;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
119;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
120;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
121;-;-;-;-;-;secondary;-;-;-;-;-;Avenida Pau Brasil;yes;-;-
122;-;-;-;-;-;secondary;-;-;-;-;-;Avenida Pau Brasil;yes;-;-
123;-;-;-;-;-;secondary;-;-;-;-;-;Avenida Pau Brasil;yes;-;-
124;-;-;-;-;-;secondary;-;-;-;-;-;Avenida Pau Brasil;yes;-;-
125;-;-;-;-;-;secondary;-;-;-;-;-;Avenida Pau Brasil;yes;-;-
126;-;-;-;-;-;secondary;-;-;-;-;-;Avenida Pau Brasil;yes;-;-
127;-;-;-;-;-;secondary;-;-;-;-;-;Avenida Pau Brasil;yes;-;-
128;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Aroeira;yes;-;-
129;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
130;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
131;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
132;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
133;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
134;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
135;-;-;zebra;-;crossing;footway;-;-;-;-;-;-;-;-;-
136;-;-;zebra;-;crossing;footway;-;-;-;-;-;-;-;-;-
137;-;-;zebra;-;crossing;footway;-;-;-;-;-;-;-;-;-
138;-;-;-;-;-;footway;-;-;-;-;-;-;-;-;-
139;-;-;-;-;-;footway;-;-;-;-;-;-;-;-;-
140;-;-;-;-;-;footway;-;-;-;-;-;-;-;-;-
141;-;-;-;-;-;tertiary;-;-;-;-;-;Alameda Flamboyant;-;-;-
142;-;-;-;-;-;secondary;-;-;-;-;-;-;yes;-;-
143;-;-;-;-;-;tertiary_link;-;-;-;-;-;-;yes;-;-
144;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
145;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
146;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
147;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
148;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
149;-;-;-;-;-;secondary;-;roundabout;-;-;-;-;-;-;-
150;-;-;-;-;-;tertiary_link;-;-;-;-;-;-;yes;-;-
151;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
152;-;-;-;-;-;secondary;-;-;-;-;-;Avenida Pau Brasil;yes;-;-
153;-;-;-;-;-;secondary;-;-;-;-;-;Avenida Pau Brasil;yes;-;-
154;-;-;-;-;-;secondary;-;-;-;-;-;Avenida Pau Brasil;yes;-;-
155;-;-;-;-;-;secondary;-;-;-;-;-;Avenida Pau Brasil;yes;-;-
156;-;-;-;-;-;tertiary;-;-;-;-;-;Rua do Bosque;yes;-;-
157;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
158;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
